tweet,class
u got her wrong killing innocents was also a part of our freedom struggle remember general dyre did this in jallianwala bagh so she is justified in saying the ppl who committed the murder were innocent just like the way general dyre was and later the british public showed solidarity towards him everything was a part of the yr long struggle,1
bara shor machaya hua the terrorist terrorist now dont cry when we hang one mend yourself before repeats itself,1
first let him fix the money crisis after that we will think about,1
thomas kuruvilla baven btw you are a european breedand we dont consider you as keralite,1
i am happy to see officer in tears the police becomes so aggressive and abusive when some poor helpless common men come before him without listening they start thrashing to aam aadmi when such goon behaves in this manner they now realised plight of poor man this lady does not deserves police uniform better she be posted in hq a peaceful tenure,1
gone out of mind,1
ðÿš¨do you like online jobðÿš¨ ðÿ™â€â™‚i am sanjay online job expert ðÿ‘‡âœhow to doðÿ¤”ðÿ¤” £goto google play store £ type champcash application £ install then sign up £put my refer id £ you have to must instal some apps £ level income here £share your refer id more friends ðÿ™‹â€â™‚more info whatsapp me + ðÿš¨ my refer id is this is a multi level marketing company like that champcash,0
if bjp wins in mcd then there is no comes in any change in mcd please give ur vote to see the the ten years work of bjp in mcd if u think there will no work in mcd any party come then why we give one chance to aap in mcd,0
i believe respect each others views ðÿ˜š,0
international courier cargo bookings special rates extended to this month end and also offering franchisee zone master franchisee cnt,0
reservation is not poverty alleviation scheme it is there for only those social groups historically who has been exploited marginalized rendered weaker muslims wanted window within obcs supreme court says you can create subwindow within obcs without breaching barrier but not on the basis of religion,1
did any muslim of our country say anything about thisif yes then i will be really happy for that,1
we follow your words but your network seams to be very slow due to that we are facing more teething issues,1
wth didnt expect this from indian express losing faith in journalism day by day how can you manipulate the news,1
what this broker talking about,1
very true prashant suvarna this facilities should be given to soldiers who are playingwith there life to protect our country where as sport person play for our country no doubt but our government give them crores of money where as soldiers not get pension also,0
guys who ever speaking against beloved pm think once before you comment india is a vast country it is not small like singapore to change in one or two years,0
kajol clarified sayingshe was eating aunty not mommy go to her house you cowards and punish her if youve guts hypocrites,1
a bit frightening india moving so fast towards cashless society great achievement,0
in up cows life is more valuable than humans what is the langot cm of that state doing,1
and she is lucky she has a choice every working mother would love to spend more time with family but for so many the reason to work is because they need the money to run the home she comes across as some kind of twit,1
yes he is right if he would have joined arvind could hv done anything,0
how bad would michael phelps feel about not representing india in these olympics ðÿ¤”,0
he can be easily manipulated anna hazare is poor man who does not understand politics in reality arvindji took all pains for the people,0
no brother everyone is not like that it is the media only who divide but i think that it is the right time for equality,1
will the rate cut have any impact on the real estate sector do you see real estate stocks surge tomorrow,0
moreover that idiot is fan of terrorist yakub menon,1
reservation and terrorism are the biggest problems india is facing right now,1
we request to indian embassy riyadh please take action,1
chances of market going down below in oct,0
legal route can only be a review petition to the supreme court pawan goenka,0
shops public transport other businesses and educational institutions remained closed for the second consecutive day on tuesday,0
covering aam from govt schemes is ok but delhiwalas dont want to see the face of kejri as well,1
if this becomes a reality we could save a lot of time money,0
hello i was at wokhardt hosp with dengue was cured nicely within dates except for one dr bhagwati every one was good,0
its okay its not such a big deal to make such a huge issue of it,0
there is nothing wrong or right it is the way you look at your own geomentry of the brain reorientation for neil is recommended to fix is brain from the virus,0
waw so some news papers decide narrative why u guys jumping gun plz dont forget americans voted to donald trump inspite of so much narrative against him dont decide paint with your own imaginations time will decide,1
hi anuj can i have your view on balkrishan industries and sun pharma,0
awesome use of pen therebeautiful writeup,0
am i the only one who is not bothered by the music i dont understand it but it is different isnt it,0
of course it very citizens responsibilitybut why dont the government bring gos to abolish plastic bags and organise garbage vehicles to pick up dry and wet waste separately and dump the garbage in a proper waypm siryou are the man of the country and you have the powerspeeches are good but let us see some actionyou have also swatch bharath tax,1
why they are selected not on their merits but loyalty to ideology and ability to support first family and their alleys,1
plz give govt retired pensioner sincome tax cutting in pension because they r living few years so kindly,0
up one of most worst state in india doesen matter who ever rule,1
krk when born he mistakenly drop by doctor and he hit the deck by head side thats why he is abnormal so ignore this poor krkhe even dont know why he is born,1
claridges and the savoy the two famous london hotels have gordon ramsay restaurants,0
one word for you ndtv you guys are morons,1
close your eyes and go in the realm of the mind let the spell take over your thoughts dance to the music of your imagination vivacity is live now at httpvivacitylnmiitacin vivacity asurrealsymphony,0
bot on fire ðÿ’™ powered by ðÿ’™ md adnan ðÿ’™ self site faxttk site by ðÿ’š usama ahmad ðÿ’š,0
yedyurappa the one behind the iron oar scam,0
when people will stop listening to your song,1
vemula karthik mr andhra have you visited kerala and its restaurants ever try our parota and beef fry or curry and check out the customers who eat them ask them their religion and you might get a whack on your face,1
inch chest is watching mutely doing kadi nenda while jawans r dying he is throwing few jumlas to make bhakts happy they dont have semblance of shame they r gud at making politics on gow mata etc,1
the moment gurmehar took her martyred army fathers name to publicize her support for separatism it can no more be counted as just her personal opinion if she had made that statement without taking refuge in martyrdom of her father then only it could have been treated as a personal opinion as of now her statement implies that her exarmy father and even many in indian army too would have been in support of her statement,1
bhaijan please bring cash from swiss banks i am waiting for past years will get lakhs but u given babaji ka tulu to everyone bc,1
yes during british period navab of junagadh organized a grand marriage ceremony of his pet dogs during the partision he carried his pets to pakistan and left behind his wives in india,0
do something solid and satisfactory pakistan will never change but we have to change,1
this happened when the civilians were fighting for cows and azaan,1
indias tactic to divert attention from kashmir issue because india is under tremendious pressure from international community and great struggle by people of kashmir,0
i am so proud of you antoinette youve done an amazing job in helping these children,0
as long we have people like him in india nothing will change ðÿ˜‚ðÿ˜‚ðÿ˜‚,1
i am gonna wait for days our pm to react else we should react,0
now godse school will come up because these people are godse bhakts,1
in india now launch bt the other countries are advenced from india,0
isi doesnt require but actual baloch peoples are in search of help,0
its easy for jeff to say that now cos he has reached a level in life starters and startups will do something new to match amazon and hence criticism,0
why india govt not taken any seviour action aignest pakistan,0
han bhai chutiya hu mei prefer humans over cows development over rhetoricfacts over hoaxtruth over mediaand sleep over messing with u good night,0
also name castecommunity blood group of all topers,1
my heartily congratulations to kanagana at least someone in bollywood have guts to point finger on karan we all have witness the karan being brand ambassador of alia bhatt i hope directors and producer will think over this and will responsibly promote deserving talent,0
you mean there is no dust in america lol cant stop my laugh after reading your comment ha ha ha ha,0
cant compare trumps america and modis india beyond a point there murderers end up as convicted prisoners here they end up as glorified politicians,1
muslims r getting lynched every other day by hindu fanatics who r supported by bjp and their communal police how can muslims in india be happy,1
awan muhammad u dont know what is the power of our soldiers,0
unfollow and unlike this indian express always spreads negativity dont let them get followers and our attention towards their posts,1
dude youve killed lakhs of pandits and now you dont interfere in a bhajan and suddenly you become secular d,1
anyways black money ppl poses all the skills continue their play,0
first of allthere is no gaurakshak in assamthe villagers beaten those two thievesthese things happenwhen thieves try to steal the only property farmers have,0
what happened to his promise of bringing back swiss black money back to india all false promises what happened with demonetization could he unearth back money he gave a chance for all black money holders to convert into white money bank were with no money which was held with black money holders people are fooled its like digging a mountain to catch a small mice,1
johar come on accept it ðÿ¤˜ðÿ»ðÿ˜,0
get it taslima nasrin is a prostitue,1
again miss venezuela or miss philippines will win it ðÿ˜•,1
india must prevent pak soldiers to cross loc and their coming into india stealthily at all cost for that purpose we should use bullets liberally at the same time india should also slap a trade embargo on pakistan and urge and convince the us and other powerful nations to introduce economic sanctions against pakistan for an indefinite period then only this terrorist state would be brought down to its knees,0
this is good for aap,0
he is real culprit why he didnt disclosed all this before his dismissal from aap so long as he was continued he will be silent,1
everthing happens for gud swami is true in all sense and wht ever congress had done in last yrs has adversly effected india as its clear congress was selling india luking to other procpective rajan is nt lucky for india might new governor brings gud luck and gud fortune for india god bless india,1
inspirational person who seems to possess a gd heart and gd intentions,0
over step with adidas first never follows adidas advt from james bond world is not enough,1
what is the use or becoming a boss when no public support is there,0
bina sahu u r also a non iitian so shut the fk up,1
sorry bro but begging is ur habitfirst you used to beg from america now from chinaand as a matter of fact its collaboration of indo russian venturenot isreal,1
thanks cnbc sonia shenoy more sweetness in speech than market action,0
the way some journalists go out of the way to argue for and support afzal guru and his supporters i wish it is much better if they openly support rahul gandhi and congress than this,1
hi i have shares donear exit or wait position,0
rm and sushma swaraj are the only working people in bjp rest are just religious politics and campaigning,1
such ministers should teach lessons for misuse of powersn we the public only choose such illitrate n gundas ministers,1
a team of people being yelled at by one person,1
pm has mandated cabinet ministers to focus on job creation commerce minister,1
ohhh chill man dnt go fr watch dis mv n distribute milk to poor of movie ticket priceðÿ˜‚ðÿ˜‚ðÿ˜‚ðÿ˜‚ðÿ˜‚ðÿ˜‚ ya its wasting of milk u rut but we can also lv without watching mv but no one can lv withoutstart act tdy then u cn complaint abt other,1
same as india doesnt follow un orders same way pak wl not accept it,1
his followers are not as sensible as he is are they,1
have you ever come across a man winning a debate with a woman even in this debate the woman wins,1
excellent launch considering they are now focussing on south american market,0
i think india should start by stomping foot on news channels like u,0
once his term comes to end he will say give me another yrs by that time he will completely ruin the country,1
and they only have about times the population what an achievement lets all move to india not,0
pankaj nandeshwar people against whom baba sahab fought whole life to bring honour for oppressed class who were being humiliated for time immemorial by these people today to get the votes of dalits they r showing themselves proponent of baba sahab,1
wipro guidance it services revenue growth seen at m,0
u could hv give slap that mla,1
its all abt ur religion u think if bjp comes ur religion will stop getting appeased,1
great move modi jee u have set another example king nd its fraternity will always get cake its the foolish subjects who r sufferer i did not dare to use wird citizens still i will wait for ur move for party money management alasss once more,1
where is intolerance indian groups where is allkhan amir khan muslimon talking every thinks,1
bjp mla is most powerful position today police officer need to understand,1
hmmthou art so tippy to get chorused at your save,0
what about bjp why not freedom from bjp,1
how much the govt is going to deduct as tax is a big question mark ðÿ˜ƒ,0
muslims ruling parties would never do what the present parties are trying to do,1
dont see mayawatijis statement with communal angle see her statement from the angle of seeking for justice and good administration bjpsp ruined it badly its time to fix it,1
happy new year ekta what view of ndfc company stock view,0
kuwait suspends issuance of visas for nationals of muslimmajority countries including pakistan,0
not its official report but unofficial killed missing,0
i dont need to own them when i can afford to use them,1
gud luck sirthe so called elite who reaped the benefits of the corrupt establishment will try everything to make it worse n present it in negative lightbravo sirits was only possible by a strong leader lik to take this drastic step from being sceptic i hav over a period of time become a proud bhaktyes u read it rt u hypocritesi m a bhakt,1
i stay in my wife village where at am jain song is been played followed by azan people are living united the best thing is jain song will be stopped for mins azan thats best of south india proud to be born in south india where there is no religious fight,1
joke of the day from a joker from jokistan couldnt stop laughing ðÿ˜ðÿ˜ðÿ˜‚ðÿ˜‚,1
it is true that azaan on loudspeakers disturbs people but why do you dont you complain against the bhajan,1
wat an explanations of saving money in a different way awesome namo well done well planned and superb perspective still to go we are along with u,0
by the way where is lokpal mr anna,1
thank you delhi police our west bengal police should treat jadavpur university students the same way,1
wht abt places whr card does nt wrk at all traveling by rickshaw do they expect cards,0
will anyone mention this when talking about sachin kohli or dhoni the conditions of soldiers is different issue sindhu and malik earned this for their hardwork dont try to undermine ones success by commenting about another sensitive issue,0
you have no right to talk about arvind it is arvind who brought you to delhi and gave the fame you aretoday why not start a lokpal dharana against the present government now without the help of arvind,0
congress ceo or bjp ceo followers or rathan followers ideas or text book ideas tata of the investorsconsumers or interest of the master cook comes first or chicken comes first television mega serial,0
bro u dont need your nation u have pakistan go there,1
india a country where scams of crores happens so two or five crores doesnt look big its looks only because how poor many indians are,0
cinema took around their character very wisely nd roudram,0
sad but nothing compared to hindus getting killed in bengal kerala,1
facing some problems of land acquisition in a few projects nitin gadkari,0
cc never defined royal enfield its just the best nd no thinks of competing,0
indian is indian the usa has no special consideration to any particular religious segment from india,1
under trails shoud not send to jailsfor them separate custodial shells shall be arranged for the period of trails and shouldnt be harassed,0
this is cld humanity hell gonna gv his all earning indian armyhats off u gg,0
check ur mother and sister is safe or raped by talibans,1
govt policies implemented by civil servants and yet they are the ones most corrupt so how can modiji policies succeed eg bank managers taking a cut and converting black money to new notes by crores no wonder there is no new notes for general public,1
global protectionism is a big challenge for indias services sector commerce minister,0
bahi its so easy its bigger country than ur pakistan and there population will second largest population after china in asia,0
remembering the media and the other political parties doing the same thing when modi was chosen as the pm nominate of bjp today we all know that the best thing to have happened to this country is modi getting similar feeling for yogi now,1
but we openly accept wht about you where u r + jehadis were killed by indian surgical strike in our case we were claiming we did it n also all big country shown there support after knowledge from their satellite here our gov saying yes but your army chief saying we didnt do anything n no other country accepting this happend this means our strategy of army want to take advantage of this to attack on cant u ppl use your brain,0
this news is completely false and baselessthere is nothing official from kuwait,1
oil company should ocupie all the petrol pump in up,1
now keynes is remembered cos dr manmohan singh quoted it in parliament in that sense every other quote of famous economist should be shared and which is relevant even today there are so many economical thinking of the past which are not futuristic neither relevant in todays world,0
tell me about muhammmadgo seach about true face of your islammc,1
bjp is following divide and rule by pushing beef ban a party which doesnt care about human rights can never really care for animals they messed up in north india giving rise to hatred and violence when will they focus on real issues facing us indians,1
your market highlight is dim can you get me the sunlight need market photosynthesis to happen come on anuj is this current news,0
kaleem khaja get to know that it is the need we have got to move towards the less cash economywe have change we cant just keep hitting at the changing world,1
ndtv doesnt tell us the cast of the cow incomplete reporting is bad ðÿ˜‚ðÿ˜‚ðÿ˜‚,1
i agree upto that mayajal is finished rest let us see,1
rekha banerji u diverted from my question how can muslims be happy when u see every other day innocent muslims getting lynched by hindutva mobs the criminals dont even get punished that is why it is happening with impunity,1
thats why he always deserve slaps,1
is it buy at dips then what do u think pls suggest,0
we actually need strict application of laws for such senseless drivers,0
true bmc the so called bastion of shiv senabut the numbers tell a different story had the shs impact been there they would have had a complete majority and the bjp would have been left decimated still bjp has a chance to edge ahead of shs,1
aggression paid off or put off p d its the time for uddhav n shivsena for introspection,1
you have to ask that to larry page or sundar pichai d,0
she said its her choice whether to stay at home or go to work she isnt criticising the one who choose to go to work,1
anna is as corrupt as bjp and congress history will paint him in as dark as the most corrupt,1
now its time for hit the bastards hard no time for kadi ninda but time for actionthe barbaric action shows its not a human work but of animals and when pigs r gone mad they r not treated they r shot dead our great army men got martyrdom take the revenge kill the bastards hard on their land and hard n very hard,1
mr ashish of knowyourcompany teach this guy se manners how did he spoke to md of specialty restaurants just to mention on the service charge issue if the comment of the hoteliers committee was arrogant then just see the episode once again to see what you did there you are nothing as compared to him these things dont look good on television we didnt turn it on to see your arrogance,0
is it the good time to buy jsw steels is it the good time to buy jsw steels,0
communal sharks are the reason for all this confusion they are adding salt into the festering wounds of the admk by using ops to get a foot hold into tn politics the people of tn should keep this communally disruptive agenda at bay or else communal harmony will be lost in this most peaceful state of india,1
rahul new guru is arvind kejriwal god knows which is good joker why they do not apply for pakistan pm,1
politics should not come in front and play with it,0
please leave this secular stands do something good to society,0
false news just like its allies west and america,0
its true bro i wonder how beautiful she is in person n how wonderful it would be to actually meet her cloud fever,0
modi sir i support u nd those all who r against u they r jokers,1
we belong to zoological park tarzan community recommends smile for success even when you are seated in a hot seat degree celsius just smile best dress you wear,1
hehe anuj thank you for acknowledging dear and thank you for answering,0
congress required to accept that lowermedium and common peoples had left faith on them due to their ill planning they have to accept that there is no leader who can come forward to take challenge to restrengthen the party and come atpar with shnarinder modi amit shah bjp party,1
oh i forget actually whole pakistan is a jahannum choosa aam by chinese,0
black moneyterrorist and smuggler all will be wiped outoff course builders,1
good evening sir am fro muscat i do have shares of spice jet bought at around ‚ shares does this will fly in near future or going to land,0
please guys stay patience we will see we waited these many years why cant we wait for few more months,1
what kind of media is thisfirst they make headlines of indian soldiers being killed by rocket launchers n now about mutilating their dead bodiesthis can happen only if pak army crosses locbtw it looks like a realsurgicalstrike with evidences on indian media,1
its good u r a home makerbut ur thought process needs to be refinedit stinks,1
devavrat rana for me both have to be earned im perfectly detached polite until the subject helps me form my opinion of himher,0
punch line strongly said boldly put forward,1
south indians are more literate but these things proved them wrongsuch a wastage of milk,1
the basic question is has pakistan produces somethin other than terrorism,1
watch yogi adityanath began to weep while narrating his experience at the hands of the erstwhile samajwadi party government in up,1
seeing a lot of investor interest in electric vehicles segment commerce minister,0
the less you talk of this bugger sonu the betterpeople of any faith be it islam hindu or christian should have no problem when holy azaan is sounded vide speakers or bhajan broadcasted through speakers be it at any hour of timewe should learn to respect and acknowledge the holy essence of both the religion,1
send him to mental hospital he is mad,1
pakistan made indian currency over black money holders in big trouble we admire modi,0
he is a pm with great visionary never worried about opposition hurdles,0
jude we elect our representative average turnout for voting later we blame the corruption,1
some of the rural areas no powerso first step we need to take that,0
n let me tell u u r not awesome u r flawsome kind of guy go and get a life,1
all terrorist are muslim but all muslim are not terrorist,1
yes wat abt baloch sindh and killings of afghanis and pashtuns stfu bikhari,1
janata dal united leader sharad yadav is tipped to emerge as a likely consensus candidate in this coming together of the opposition parties yadav said that the unity among antibjp parties has already begun in the parliament and was now expanding to the ground as well,0
really dtaa will force to tax evader in trouble for capital gains on investment excellent and positive measure for growth and protection of corruption too,0
his philosophy is as dead today as it was before,1
time has come all leftist student should either banned or left our countryno tollence for these criminals,1
crude will it touch in dec,0
the most illplanned illexecuted move by the government its all about politics its all about the up elections nothing else no black money is coming into the system or anything else,0
resolve the kashmir issue the peace will prevail across the nation,0
i suggest dont answer to anyone opposing modi they have come to a stage where they will criticise anything that he does i m waiting for the day when modi will say that fresh air is good for health and people will start opposing it and stop taking fresh air,1
its his wish who is this mullana preaching others and interfaring in others religious beliefs hes also a citizen of india and have his own religious freedom being a cm doesnt mean he do stop believing in the faiths of his religion,1
tital itself is biased india has been subjected to minoritiesm in the name of secularism now india is only restoring secularism,1
listen mate your eternal father modi ji is still your nemesis,1
its important that any stock holding company that the management have a skin in the game cyrus mistry has his skin in the game,0
there is a bigger scam all over india in issuing dl and rto office is most corrupt mostly the jurisdiction falls under state and central minister can do a little however can some legislation come in controlling rto,0
indian jallikattu train pm massacre killed gandhi father of india killed + kashmiri in killed + civilian in demonetization pakistan pl help unitednation pl help china pl help,1
himachal high court also banned our very old tradition of buffalo fighting event in dussera dont know why court want to show its superiorityinstead it should ban killing of animals in slaughter house,0
need to send a request to fb to unfriend indianexpress wtf is wrong with u guys ðÿ˜¡ðÿ˜¡ðÿ˜¡,1
no all assembly elections could be held together but holding them with lok sabha is a huge mistake,0
congress mukt bharat k saath saath tumlogo ka v safaya ho jayegaharam khoro yrs me hindu ka converstion hua islam me is par kya bologechutiya party of india cpi,1
first of all jigar this is not only country of hindus its a diversified country having all religions togethersu have jigar only on ur name but dont have jigar in u to respect the others religions and their sentimentsso be a man learn to respect other religions and people,1
ur people r desecrating holy quran the peace msg of islam,1
oh he did he really have a heart eh,0
its a shame that we havent taken any action yet and we still wait for more of these things to happenkill them all,1
this old man is useless,1
sitharam yetchury must be send to the border post and must be asked to stay with the fighting jawansthen he will realize that keeping the borders is not so easy like what he thinks and speakhe was running to jnufor solidarity for the terrorist outfits inside the universitywhy he never show solidarity with our jawansiam doubtful for his citizenship in india,0
go and file case man y to disturb people and blackmail aap as kumar viswas did,1
warren buff has warned for over valued m caps is there great sell off coming this week,0
anything more than is atrocious ewallets will get wiped out if psu banks support their wallets at no extra cost on govt directive,0
lalu ji namo namo is ours peoples pm nd u r not peoples cm,1
chinese leaders are using veto tp protect terrorist in pakistan liars,1
human lose always painfully but how can it possible mutilating soldier body millions army deployed by india governments valley of kashmir pakistan army go to inside india and mutilated soldier body then back to barrack if its happen really india army must take action on sector commander its failure of indian army it also prove that indian army is weaker than pakistan army in terms of training and cleverness,1
ask those dogs to keep quite who are disturbing modhiji to speak,1
he should go back to sleeep,0
sharon did not say american english after reading her comment more carefully she said in american english so i believe it was a typo and she actually meant to say in america english should be the official language,0
sir fact is that secular dynamics of this country is fast changing present setup is set to disintegrate this country,1
but pakistan is governed by army ruled by china,1
pak known how to defend us i think in will divides into parts,1
u will support converstion bcze u knw u r also a converted muslimwhose ancestor were hindubut they accept islam for their livesso in our local language we call this types of muslim doglaor hybridlol is talking abt ideology go and try to knw abt ur root,1
a man who cannot respect his mother how do you expect him to respect his motherland,1
m also admirer of kangna acting skillbt she is nt correctshe has problem with alll,1
absolutely pathetic piece of journalism from indian express this guy just made such an inspiring speech but all this news agency saw was criticism of ak highly disappointed,1
the people who are depositing amount in the bank are black money holders and the deposited money is black money,1
politicians are like diapers they need to be changed often and for the same reason,1
stay fooled when people like you are blindly protecting and defending criminals desh kahan aur kaise aage bade ga,1
abp means all bjp paid news to make fools in india,1
its true but our government will never understand they will spend crores to advertise makeinindia bur will not focus on the key issues of infrastructure and policies for ease of makeinindia,1
good workjust give government employee salary package as in private sector,1
because of these parties like these we hindus got united infact we should thank them for making the impossible thing has started exceptionally well for bjp waiting for up results,0
siva das and you were tagging me in pages that trolled yechury for attempting to get re elected to rajya sabha yechury says sorry to disappoint you ðÿ˜‚,0
this is how he makes money vmby creating controversy and doing exactly whats wrong,1
welspun is weak rec and gati shall perform brilliantly wait for some positive news for wockhard and metalyst,0
india plagued with mafia gangsterism gentlemen clean that first other corruption will vanish itself,0
only a third class news paper like indian express can print such nonsense uttered by an idiot,1
it is greatest among all toppers toppers among toppers i am general category guy i say dalits scientific skills are equivalent to westerners it is this science views saving india from poverty illogical thoughts black vs white divisions etc it workers cannot even missile so we have to rely on science,1
as if un has no other work they will not even hear this guy,1
modi ji all the pain nã real gain,1
just saying whatever comes to mouth doesnt make a leader,1
means tougher for congress easier for bjp this is what he means,0
where is the common gst vanished in thin air,0
ribak imdat evm fraud lol if aaptards still believe that was the reason for delhi and punjab loss then you are true to your name,1
well as per national crime record per people kerala is number in women sexual assault tally,0
part time job without investment no registration fees ðÿ‘‰earn daily by working minutes install champ cash to play store in your phone sponser id for more information type join and send whatsapp no,0
could have migrated to in but govt was not ready with fuel pawan goenka,0
now nifty above day moving average what next day moving average,0
soldiers creating songs your soldiers can do that well only keep creating,0
the whole world knows you are with rssbjp whom are you trying to fool,1
what about triple talak why supreme court hesitate to give justice to muslim women later on halala,0
online smart work part time job without investment no registration fee monthly payment no target no age limit work from home dont miss this golden opportunity limited vacancy available working hours per day for more information whats app us on +,0
i remembered the scene in omg where paresh rawal describe the same scene as this news,0
